id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
"phy_mag_001","Physics","Magnetism","Magnetic dipole moment","A bar magnet has magnetic moment 5 A·m^2 and pole strength 25 A·m. The magnetic length of the magnet is","0.05 m","0.1 m","0.2 m","0.4 m","C","Magnetic moment M = p×L. So L = M/p = 5/25 = 0.2 m."
"phy_mech_002","Physics","Mechanics","Projectile motion","A projectile is fired horizontally at 20 m·s^-1 from a height of 98 m. Find the horizontal distance travelled before hitting the ground","44.7 m","80.0 m","89.4 m","98.0 m","C","Time t = √(2h/g) = √(196/9.8) ≈ 4.47 s, so range = v t ≈ 20×4.47 ≈ 89.4 m."
"phy_elm_001","Physics","Electricity and Measurements","Potentiometer principle","A cell of emf 2 V balances at 20 cm on a potentiometer wire. What is the balancing length for a 4 V cell on the same wire","10 cm","20 cm","40 cm","80 cm","C","Balancing length ∝ emf. Doubling emf from 2 V to 4 V doubles length from 20 cm to 40 cm."

"zoo_evo_001","Zoology","Evolution","Human evolution","Which one is the closest relative of modern man today?","Gorilla","Chimpanzee","Orangutan","Gibbon","B","Chimpanzee shares the highest DNA similarity (about 98%) with modern humans, making it our closest living relative."

"zoo_anat_001","Zoology","Human Anatomy","Brain and skull","The cranial capacity of modern man is","800–1000 cc","1000–1200 cc","1300–1600 cc","1600–2000 cc","C","Modern Homo sapiens have an average cranial capacity of 1350 cc."

"zoo_evo_002","Zoology","Evolution","Origin of life","Miller's experiment provided evidence for the theory of","Biogenesis","Abiogenesis","Special creation","Spontaneous generation","B","Miller’s experiment simulated early Earth conditions and formed amino acids, supporting abiogenesis, the chemical origin of life."

"zoo_phy_001","Zoology","Endocrinology","Hormones","Which hormone possesses anti-insulin effect?","Cortisol","Thyroxine","Insulin","Aldosterone","A","Cortisol increases blood glucose levels and has an anti-insulin effect."

"zoo_phy_002","Zoology","Physiology","Calcium balance","Tetany is caused due to","Low calcium","High calcium","Low sodium","High sodium","A","Tetany occurs when blood calcium levels drop, leading to involuntary muscle spasms."

"zoo_zoo_001","Zoology","Adaptation","Desert animals","Which is not found in camel?","Hump","Sweat gland","Long eyelashes","Fat stored in hump","B","Camels lack functional sweat glands to minimize water loss."

"zoo_mic_001","Zoology","Microbiology","Feeding methods","Osmotrophy is related to","Absorption of dissolved food","Ingestion of solid food","Photosynthesis","Parasitism","A","Osmotrophy is absorption of dissolved organic nutrients through the cell membrane, common in fungi and protozoa."

"zoo_rep_001","Zoology","Reproductive system","Testes position","The condition in which testes fail to descend into the scrotum is","Cryptorchidism","Hernia","Hydrocele","Varicocele","A","Failure of testes to descend causes cryptorchidism, affecting sperm production."

"zoo_inv_001","Zoology","Invertebrates","Mollusca","Organ of Bojanus in Mollusca is","Excretory organ","Reproductive organ","Sensory organ","Digestive gland","A","Organ of Bojanus functions as the excretory organ (kidney) in molluscs."

"zoo_inv_002","Zoology","Invertebrates","Ctenophora","The band of cilia present on the dorsal surface of vestibule is","Ctenes","Ciliary band","Ciliated groove","Comb plate","D","In ctenophores, the comb plates or ctenes are rows of fused cilia aiding locomotion."

"zoo_mam_001","Zoology","Mammals","Reproduction","Most distinguishing feature of eutherian mammals is","Placenta","Mammary glands","Hair","Four-chambered heart","A","Eutherians are placental mammals with complex placenta for fetal nourishment."

"zoo_mam_002","Zoology","Mammals","Classification","Prototherians are","Egg-laying mammals","Marsupials","Placental mammals","Viviparous mammals","A","Prototherians like platypus lay eggs and show reptilian traits."

"zoo_ver_001","Zoology","Chordates","Agnatha","The following are characters of Agnatha except","Jawless","Paired fins absent","Cartilaginous skeleton","Scales present","D","Agnatha lack scales, jaws, and paired fins."

"zoo_skl_001","Zoology","Anatomy","Pectoral girdle","Acromion process is found in","Scapula","Clavicle","Sternum","Humerus","A","Acromion is a bony process on the scapula forming the shoulder tip."

"zoo_skl_002","Zoology","Anatomy","Skeleton","Number of bones in hind limb is","30","33","35","37","A","Human hind limb has 30 bones per limb, including femur, tibia, fibula, tarsals, metatarsals, and phalanges."

"zoo_evo_003","Zoology","Evolution","Horse evolution","Earliest form of horse is","Eohippus","Mesohippus","Merychippus","Pliohippus","A","Eohippus (Hyracotherium) is the earliest known horse ancestor, small and with four toes."

"zoo_evo_004","Zoology","Evolution","Lamarckism","Lamarckism fails to explain","Origin of variations","Use and disuse of organs","Inheritance of acquired traits","Evolution by adaptation","A","Lamarckism cannot explain the source of variations in organisms."

"zoo_sen_001","Zoology","Sensation","Eye","Rods and cones of retina are modified","Nerve cells","Sensory receptors","Epithelial cells","Connective cells","B","Rods and cones are modified photoreceptor cells detecting light and color."

"zoo_phy_003","Zoology","Physiology","Respiration control","Pneumotaxic centre is located in","Pons","Medulla","Cerebrum","Cerebellum","A","The pneumotaxic center in pons regulates breathing rate."

"zoo_phy_004","Zoology","Physiology","Metamorphosis","Metamorphosis is accelerated by","Thyroxine","Insulin","Adrenaline","Estrogen","A","Thyroxine hormone accelerates metamorphosis in amphibians."

"zoo_phy_005","Zoology","Physiology","Muscle movement","Depression of floor of buccal cavity in frog is due to","Sterno-hyoid","Genio-hyoid","Pterygoid","Masseter","A","Sterno-hyoid muscles pull down the floor of the buccal cavity during respiration."

"zoo_phy_006","Zoology","Physiology","Excretion","The osmotic pressure created by plasma proteins in glomerular filtrate is","Oncotic pressure","Hydrostatic pressure","Filtration pressure","Turgor pressure","A","Plasma proteins create oncotic pressure opposing filtration in glomeruli."

"zoo_inv_003","Zoology","Invertebrates","Porifera","Spicules forming cells in Porifera are","Scleroblasts","Choanocytes","Amoebocytes","Pinacocytes","A","Scleroblasts or sclerocytes form spicules that provide structural support."

"zoo_inv_004","Zoology","Invertebrates","Annelida","Which helps in excretion in earthworm?","Nephridia","Malpighian tubules","Flame cells","Green glands","A","Nephridia are excretory organs in earthworm."

"zoo_evo_005","Zoology","Evolution","Adaptation","Resemblance between widely different groups due to common habitat is","Convergent evolution","Divergent evolution","Parallel evolution","Adaptive radiation","A","Similar adaptations in unrelated groups due to similar environments is convergent evolution."

"zoo_skl_003","Zoology","Anatomy","Vertebral column","The most important characteristic of vertebrae of mammals is","Presence of intervertebral discs","Absence of centrum","Presence of ribs","Fused vertebrae","A","Intervertebral discs of cartilage provide flexibility and cushioning."

"zoo_phy_007","Zoology","Physiology","Respiration","Maximum CO2 transport is in the form of","Bicarbonate ions","Carbaminohemoglobin","Dissolved CO2","Carbonic acid","A","About 70% of CO2 is transported as bicarbonate ions in plasma."

"zoo_gen_001","Zoology","Genetics","Blood group inheritance","The genotype of B-blood group father having O-blood group child is","IBi","IBIB","IAIB","ii","A","Father must be heterozygous IBi so child can inherit i from both parents to become O group."

"zoo_bio_001","Zoology","Biochemistry","Proteins","The amino acid responsible for maintenance of blood buffer in hemoglobin is","Histidine","Glycine","Lysine","Alanine","A","Histidine residues buffer blood pH by reversible protonation in hemoglobin."
"bot_gen_001","Botany","Genetics","DNA structure","The total number of base pairs in one turn in B-DNA is","8","10","12","14","B","One complete turn of B-DNA has 10 base pairs with a pitch of 34 Å."

"bot_gen_002","Botany","Genetics","Polygenic inheritance","Inheritance of skin colour in human beings is an example of","Multiple alleles","Polygenic inheritance","Sex-linked inheritance","Co-dominance","B","Skin colour is controlled by multiple genes, showing continuous variation, hence polygenic inheritance."

"bot_cyt_001","Botany","Cell Biology","Mitochondria","In mitochondria, which is present:","DNA","RNA","Both DNA and RNA","None","C","Mitochondria have their own DNA and RNA, enabling them to synthesize some proteins independently."

"bot_bio_001","Botany","Biochemistry","Fermentation","End product of fermentation is","Ethanol","Pyruvic acid","Acetyl-CoA","Lactic acid","A","Fermentation produces ethanol and CO₂ in plants and yeast as the final products."

"bot_phy_001","Botany","Photosynthesis","Light reaction","Number of ATP and NADPH2 required to fix 6 molecules of CO₂ is","12 and 12","18 and 12","6 and 6","24 and 18","B","To fix 6 CO₂ in Calvin cycle, 18 ATP and 12 NADPH₂ are needed."

"bot_phy_002","Botany","Photosynthesis","C4 cycle","In C₄ plant, the first CO₂ acceptor is","RuBP","PGA","PEP","OAA","C","In C₄ plants, phosphoenol pyruvate (PEP) acts as the primary CO₂ acceptor forming oxaloacetic acid."

"bot_gen_003","Botany","Genetics","DNA replication","Enzyme required for removing RNA primer during DNA replication is","DNA ligase","DNA polymerase I","Helicase","Primase","B","DNA polymerase I removes RNA primers and fills the gaps with DNA nucleotides."

"bot_bio_002","Botany","Biochemistry","Amino acids","Number of glycine required to synthesize one molecule of porphyrin is","2","4","6","8","B","Four molecules of glycine are required for the synthesis of one molecule of porphyrin ring."

"bot_cyt_002","Botany","Cell Biology","Mitochondria","The marker enzyme of mitochondria is","Cytochrome oxidase","Succinic dehydrogenase","ATP synthase","Catalase","B","Succinic dehydrogenase is used as the marker enzyme for mitochondria."

"bot_cyt_003","Botany","Cell Division","Chromosome doubling","The usual purpose of colchicine is","To prevent mitosis","To induce polyploidy","To break spindle fibers","To inhibit cytokinesis","B","Colchicine disrupts spindle formation and prevents chromosome separation, inducing polyploidy."

"bot_mor_001","Botany","Morphology","Modification of stem","Phylloclade is present in","Opuntia","Euphorbia","Asparagus","Cactus","A","Phylloclade is a flattened green stem found in Opuntia for photosynthesis."

"bot_mic_001","Botany","Microbiology","Cyanobacteria","Coralloid roots help in","Nitrogen fixation","Water absorption","Photosynthesis","Support","A","Coralloid roots in Cycas contain blue-green algae (Anabaena) for nitrogen fixation."

"bot_ana_001","Botany","Anatomy","Cork tissue","Minute pore-like openings found in cork that help in exchange of gases are called","Stomata","Lenticels","Hydathodes","Trichomes","B","Lenticels are openings in cork tissue that allow gas exchange."

"bot_ana_002","Botany","Anatomy","Leaf tissue","Mesophyll of leaf is differentiated into palisade and spongy parenchyma in","Dorsiventral leaf","Isobilateral leaf","Monocot leaf","Conifer leaf","A","In dorsiventral (dicot) leaves, mesophyll differentiates into palisade and spongy tissues."

"bot_ecol_001","Botany","Ecology","Plant adaptations","The plant having thin cuticle and aerenchyma is found in","Hydrophytes","Xerophytes","Mesophytes","Halophytes","A","Hydrophytes like Hydrilla have thin cuticle and large aerenchyma for buoyancy."

"bot_eco_001","Botany","Ecology","Symbiosis","Lichen following mode of life is","Parasitic","Symbiotic","Commensal","Saprophytic","B","Lichens are symbiotic associations between algae and fungi."

"bot_phy_003","Botany","Plant Physiology","Ripening","Ripened fruits become soft due to","Breakdown of pectin","Increase in starch","Formation of cellulose","Loss of water","A","Pectin in the cell wall converts into soluble pectates, softening the fruit."

"bot_phy_004","Botany","Photosynthesis","Oxygen source","Oxygen in glucose comes from","CO₂","H₂O","O₂","Glucose","B","In photosynthesis, the oxygen released and incorporated in glucose originates from water molecules."

"bot_gen_004","Botany","Genetics","DNA repair","Ultraviolet rays destroy DNA but the cell can neutralize this effect, this is called","Photoreactivation","Dark repair","Mutation","Recombination","A","Photoreactivation uses photolyase enzyme to repair UV-induced thymine dimers in DNA."

"chem_eqm_001","Chemistry","Chemical Equilibrium","Le Chatelier, exothermic","For a reversible exothermic reaction, which statement is correct","Equilibrium constant increases with temperature","Equilibrium constant decreases with temperature","Equilibrium constant independent of temperature","Forward reaction favored at high temperature","B","For exothermic reactions, increasing temperature shifts equilibrium to reactants, so K decreases as temperature rises."
"chem_org_001","Chemistry","Organic Chemistry","Alcohol oxidation","Aldehyde is the first oxidation product of","Primary alcohol","Secondary alcohol","Tertiary alcohol","Phenol","A","Primary alcohols oxidize first to aldehydes, then to acids under stronger conditions."
"chem_org_002","Chemistry","Industrial Chemistry","Denatured spirit","Rectified spirit is made unfit for drinking by adding","Methanol","Acetone","Chloroform","Glycerol","A","Denaturing commonly uses methanol, sometimes with pyridine and CuSO4."
"chem_dye_001","Chemistry","Dyes","Mordant dye conversion","An acid dye having a sulphonic group is changed into a mordant dye by adding","Phenolic −OH group","Nitro group","Amino group","Carboxyl group","A","Introducing phenolic −OH enables chelation with metal mordants, giving mordant dye behavior."
"chem_phy_001","Chemistry","Physical Chemistry","Hydrogen bonding","Boiling point of water is high due to","Large molar mass","Hydrogen bonding","Ionic dissociation","High specific heat","B","Extensive intermolecular hydrogen bonding raises water’s boiling point."
"chem_atm_001","Chemistry","Atomic Structure","Unpaired electrons","Maximum number of unpaired electrons is present in","Chromium atom","Manganese atom","Iron(III) ion","Nickel atom","A","Cr has configuration [Ar]3d5 4s1 giving six unpaired electrons."
"chem_bond_001","Chemistry","Bonding","Bond energy","Which has the highest C−O bond energy","CO","CO2","HCHO","CH3OH","A","CO contains a very strong C≡O multiple bond with the highest bond energy among the options."
"chem_acid_001","Chemistry","Acids and Bases","Acid strength","Which of the following is a weak acid","Acetic acid","Hydrochloric acid","Nitric acid","Sulfuric acid","A","Acetic acid is weak and only partially ionizes in water."
"chem_sol_001","Chemistry","Solubility Product","AgCl","The solubility product of AgCl is 1.69×10^-10. What is its molar solubility in pure water","1.3×10^-3 M","1.3×10^-4 M","1.3×10^-5 M","1.3×10^-6 M","C","For AgCl, Ksp = s^2, so s = √(1.69×10^-10) = 1.3×10^-5 M."
"chem_org_003","Chemistry","Organic Chemistry","Carbides with water","A metallic carbide reacts with water to give a hydrocarbon that readily burns and gives Tollens test. The hydrocarbon is","Ethane","Ethylene","Acetylene","Propane","C","Calcium carbide gives acetylene with water. Acetylene forms silver acetylide with ammoniacal AgNO3, analogous to Tollens-type test for terminal alkynes."
"chem_law_001","Chemistry","Stoichiometry","Chemical laws","Twelve grams of carbon react with 3 g of H2 to give 16 g of CH4. This illustrates","Law of conservation of mass","Law of constant proportions","Law of multiple proportions","Gay-Lussac’s law","A","The total mass of reactants equals the mass of products in a chemical reaction."
"chem_kin_001","Chemistry","Chemical Kinetics","Rate constant units","Unit of the rate constant for a first order reaction is","mol^-1 L s^-1","s^-1","L mol^-1 s^-1","mol L^-1 s^-1","B","First order rate constant has the dimension of time^-1."
"chem_org_004","Chemistry","Organic Chemistry","Gabriel synthesis","Gabriel phthalimide reaction is used to prepare","Primary amines","Secondary amines","Tertiary amines","Anilides","A","Gabriel synthesis gives primary amines, especially aliphatic ones, avoiding over-alkylation."
"chem_acid_002","Chemistry","Acids and Bases","pH and pOH","Calculate the pOH of a 25 °C solution that contains 1×10^-10 M H3O+","4","7","10","14","B","Accounting for water autoionization, [H+] ≈ 1.0×10^-7 M, so pH ≈ 7 and pOH ≈ 7."
"chem_org_005","Chemistry","Organic Chemistry","Grignard to CO2","Methyl magnesium bromide added to CO2 gives, after hydrolysis","Formic acid","Acetic acid","Propionic acid","Methanol","B","Grignard reagents add to CO2 to form carboxylates that hydrolyze to the corresponding carboxylic acids, here acetic acid."
"chem_acid_003","Chemistry","Acid–Base Titration","Neutralization","When 100 mL of 1 M NaOH is added to 10 mL of 10 N H2SO4, the resulting solution is","Acidic","Basic","Neutral","Buffer","C","Moles OH− = 0.1, equivalents of H2SO4 = 0.1, they neutralize completely to a neutral salt solution."
"chem_bio_001","Chemistry","Biomolecules","Protein test","Biuret test is for","Starch","Proteins","Lipids","Nucleic acids","B","Biuret test detects peptide bonds, giving a violet color with proteins."
"chem_mat_001","Chemistry","Alloys","German silver","The chemical composition of German silver is","Cu, Zn, Ni","Cu, Sn, Zn","Cu, Al, Ni","Fe, Cr, Ni","A","German silver, or nickel silver, is an alloy of copper, zinc, and nickel."
"chem_org_006","Chemistry","Organic Chemistry","Williamson ether synthesis","The ether formed by t-butoxide and methyl iodide is","t-Butyl methyl ether","Di-t-butyl ether","Methyl ether","Isopropyl methyl ether","A","Williamson synthesis SN2 on MeI by t-butoxide gives tert-butyl methyl ether."
"chem_acid_004","Chemistry","Solutions","Normality and mass","What is the mass of pure H2SO4 in 500 mL of 1.5 N H2SO4","24.5 g","36.75 g","49.0 g","73.5 g","B","Equivalents = N×V = 1.5×0.5 = 0.75 eq. Eq wt of H2SO4 = 98/2 = 49 g, mass = 0.75×49 = 36.75 g."
"chem_org_007","Chemistry","Electrophilic Substitution","Sulfonation","Which compound is most easily sulphonated","Toluene","Benzene","Nitrobenzene","Chlorobenzene","A","The methyl group activates the ring, so toluene sulfonates faster than benzene, deactivated nitro or chloro rings."
"chem_nuc_001","Chemistry","Nuclear Chemistry","Moderators","Which is used as a nuclear moderator","Heavy water","Liquid sodium","Lead","Uranium dioxide","A","Heavy water slows neutrons efficiently without high absorption."
"chem_emp_001","Chemistry","Empirical and Molecular Formula","Combustion analysis and M","224 cm3 of a vapor weighs 0.6 g and contains 40 percent C, 6.67 percent H, rest O. Molecular formula is","CH2O","C2H4O2","C3H6O3","C4H8O4","B","Molar mass from gas: 0.224 L is 0.01 mol, so M = 0.6/0.01 = 60 g/mol. Empirical CH2O (30), molecular is ×2 = C2H4O2."
"chem_thm_001","Chemistry","Thermodynamics","Adiabatic process","In an adiabatic process, which is true","q = 0","w = 0","ΔU = 0","T = constant","A","Adiabatic means no heat exchange, so q = 0, and for an ideal gas PV^γ remains constant."
"bot_tis_001","Botany","Biotechnology","Tissue culture","Jelly-like medium in tissue culture is contributed by","Agar","Gelatin","Sucrose","Glucose","A","Agar is used as a gelling agent in plant tissue culture medium, providing a jelly-like consistency."

"bot_flo_001","Botany","Floral Morphology","Flower structure","Epipetalous stamens and axile placentation are characteristics of","Solanaceae","Liliaceae","Fabaceae","Malvaceae","A","In Solanaceae, stamens are epipetalous and ovary shows axile placentation."

"bot_phy_001","Botany","Plant Physiology","Photorespiration","Photorespiration occurs in","Chloroplast only","Chloroplast, peroxisome, mitochondria","Mitochondria only","Peroxisome only","B","Photorespiration involves chloroplast, peroxisome, and mitochondria."

"bot_cel_001","Botany","Cytology","Plant cell","Which of the following plant components have no nucleus","Phloem sieve tube","Companion cell","Xylem parenchyma","Guard cell","A","Sieve tube elements are living but lack nucleus at maturity."

"bot_rep_001","Botany","Reproduction","Embryo sac","Total number of haploid nuclei in an embryo sac is","4","6","8","12","C","A mature embryo sac has 8 haploid nuclei arranged as egg apparatus, antipodals, and polar nuclei."

"bot_phy_002","Botany","Plant Physiology","Gas exchange","Gaseous exchange in submerged plants occurs by","Lenticels","Cuticle","General surface diffusion","Stomata","C","Submerged hydrophytes lack stomata, so gaseous exchange occurs by simple diffusion through body surface."

"bot_rep_002","Botany","Reproduction","Female gametophyte","Female gametophyte in angiosperms is called","Embryo sac","Archegonium","Oosphere","Megaspore mother cell","A","In angiosperms, the embryo sac functions as the female gametophyte."

"bot_gen_001","Botany","Genetics","DNA replication","Discontinuous replication of DNA occurs in which strand","Leading strand","Lagging strand","Both strands","Template strand","B","Lagging strand is synthesized discontinuously forming Okazaki fragments."

"bot_cel_002","Botany","Cell Biology","Prokaryotic cells","Prokaryotic structure is present in","Bacteria","Algae","Fungi","Protists","A","Bacteria are prokaryotic organisms lacking a true nucleus and membrane-bound organelles."

"bot_phy_003","Botany","Plant Physiology","Photosynthesis","Increase in CO2 concentration around a leaf results in","Increased rate of photosynthesis","Decreased photosynthesis","Closure of stomata","Inhibition of respiration","A","More CO2 enhances photosynthesis up to a saturation point."

"bot_phy_004","Botany","Photosynthesis","C4 pathway","Sugarcane shows high efficiency of CO2 fixation because it performs","C3 cycle","C4 cycle","CAM cycle","Photorespiration","B","Sugarcane is a C4 plant using Hatch–Slack pathway, minimizing photorespiration and increasing CO2 fixation efficiency."

"bot_gen_002","Botany","Genetics","Polyploidy","Hybridization followed by polyploidy is called","Allopolyploidy","Autopolyploidy","Aneuploidy","Monoploidy","A","Allopolyploidy arises from hybridization between species followed by chromosome doubling."

"bot_bry_001","Botany","Bryophytes","General features","Embryophytic plant not containing vascular bundle is","Bryophyte","Pteridophyte","Gymnosperm","Angiosperm","A","Bryophytes are non-vascular embryophytes, lacking xylem and phloem."

"bot_alt_001","Botany","Life Cycle","Alternation of generation","Independent alternation of generation is found in","Pteridophytes","Bryophytes","Gymnosperms","Angiosperms","A","In pteridophytes, both gametophyte and sporophyte are independent."

"bot_phy_005","Botany","Phylogeny","Cyanobacteria and algae","Red algae and blue-green algae are similar in","Presence of chlorophyll a","Presence of flagella","Presence of chlorophyll b","Sexual reproduction","A","Both red and blue-green algae possess chlorophyll a as the primary photosynthetic pigment."

"bot_eco_001","Botany","Ecology","Ecosystem productivity","The rate at which light energy is converted into chemical energy of organic molecules in an ecosystem is","Gross primary productivity","Net primary productivity","Secondary productivity","Trophic efficiency","A","Gross primary productivity measures the total energy fixed by producers."

"bot_cls_001","Botany","Taxonomy","Classification","According to Bentham and Hooker, gymnosperms are placed under","Dicotyledons","Monocotyledons","Phanerogams","Cryptogams","C","Bentham and Hooker classified gymnosperms under division Phanerogams due to presence of seeds."

"bot_mic_001","Botany","Microbiology","Nitrogen fixation","Which of the following plants helps in nitrogen fixation","Alnus","Eucalyptus","Azolla","Casuarina","C","Azolla harbors Anabaena, a nitrogen-fixing cyanobacterium in its leaves."

"bot_flo_002","Botany","Floral Morphology","Placentation","Placentation in Cruciferae is","Parietal","Axile","Free central","Basal","A","Cruciferae (Brassicaceae) show parietal placentation with ovules on ovary wall."

"bot_ecol_002","Botany","Ecology","Nitrogen fixation and crops","Which of the following crops grows easily in nitrogen-deficient soil","Gram","Pea","Bean","All of these","D","Leguminous crops like gram, pea, and bean fix atmospheric nitrogen through Rhizobium symbiosis, thriving in nitrogen-poor soils."
"zoo_inv_001","Zoology","Invertebrates","Body cavity","Pseudocoelom is present in","Annelida","Arthropoda","Aschelminthes","Platyhelminthes","C","Aschelminthes such as Ascaris possess a pseudocoelom derived from the blastocoel."

"zoo_sen_001","Zoology","Sensory Organs","Eye","Ora serrata is a part of","Ear","Eye","Brain","Kidney","B","Ora serrata marks the junction between the retina and ciliary body in the eye."

"zoo_inv_002","Zoology","Invertebrates","Parasitology","Parasite found in seminal vesicle of earthworm is","Monocystis","Euglena","Entamoeba","Plasmodium","A","Monocystis, a protozoan, lives as a parasite in the seminal vesicles of earthworms."

"zoo_phy_001","Zoology","Physiology","Body fluids","pH of human body is","6.5","7.0","7.4","7.8","C","Normal blood pH is slightly alkaline, around 7.4."

"zoo_sen_002","Zoology","Sensory Organs","Ear","Eustachian tube connects","Inner ear and pharynx","Middle ear and pharynx","Outer ear and pharynx","Nasal cavity and inner ear","B","The Eustachian tube connects the middle ear to the pharynx, equalizing air pressure."

"zoo_prot_001","Zoology","Protozoa","Plasmodium life cycle","Sexual cycle of Plasmodium occurs in","Man","Mosquito","Both man and mosquito","Liver cells","B","Sexual reproduction of Plasmodium occurs in the gut of female Anopheles mosquito."

"zoo_phy_002","Zoology","Physiology","Nervous system","Neurotransmitter released from postganglionic sympathetic sweat gland is","Acetylcholine","Noradrenaline","Dopamine","Adrenaline","A","Although sympathetic, sweat glands release acetylcholine instead of noradrenaline."

"zoo_ich_001","Zoology","Ichthyology","Fish respiration","Which fish bears lungs","Rohu","Labeo","Lungfish","Hilsa","C","Lungfish (Dipnoi) possess true lungs for aerial respiration."

"zoo_phy_003","Zoology","Physiology","Immune system","Phagocytic cell found in liver is","Kupffer cell","Microglia","Monocyte","Langerhans cell","A","Kupffer cells are macrophages in liver sinusoids performing phagocytosis."

"zoo_rep_001","Zoology","Reproduction","Testis structure","Leydig cells are present in","Seminiferous tubules","Interstitial tissue of testis","Epididymis","Prostate gland","B","Leydig cells lie in interstitial tissue of testes and secrete testosterone."

"zoo_skl_001","Zoology","Anatomy","Vertebral column","Axis vertebra differs from Atlas in having","Odontoid process","No centrum","Transverse foramina","Larger vertebral foramen","A","Axis has an odontoid process (dens) which articulates with atlas."

"zoo_phy_004","Zoology","Physiology","Respiration in amphibians","Respiratory muscles in frog are","Abdominal and sterno-hyoid","Intercostal and diaphragm","Abdominal and intercostal","Diaphragm and pectoral","A","Frogs use sterno-hyoid and abdominal muscles for buccal pumping during respiration."

"zoo_inv_003","Zoology","Parasitology","Helminths","Blood flukes refer to","Schistosoma","Fasciola","Taenia","Ascaris","A","Schistosoma species are called blood flukes as they inhabit blood vessels."

"zoo_sen_003","Zoology","Neurobiology","Echolocation","Bat never forgets its path due to","Vision","Magnetism","Echolocation","Memory","C","Bats use ultrasonic echolocation to navigate precisely in darkness."

"zoo_rep_002","Zoology","Reproduction","Spermatogenesis","Number of spermatozoa formed from one primary spermatocyte is","2","4","8","16","B","Each primary spermatocyte undergoes meiosis producing four haploid spermatids."

